pred2,true2
337369.402936,302000.00000000023
309362.172042,333168.0000000001
109156.039724,119000.0000000001
203033.182861,206900.00000000003
279471.605257,295493.00000000023
209439.890484,208899.99999999988
267644.694208,275000.00000000006
104261.344868,111000.00000000004
168452.932432,156500.00000000006
71827.695187,72499.99999999996
237388.249835,190000.00000000012
102020.997722,82500.00000000001
291940.678821,146999.9999999999
69066.8271058,54999.99999999995
87398.3788263,79000.00000000006
137354.780816,130500.00000000012
214437.338389,256000.00000000012
181979.132465,176499.9999999999
249732.038999,226999.9999999998
130400.068758,132499.99999999994
102535.642151,100000.00000000001
125647.502191,125499.99999999991
116268.339115,124999.99999999991
167088.153427,167900.00000000003
134060.400371,135000.00000000012
58887.8252429,52500.000000000015
229007.213191,200000.00000000006
124487.627108,128500.0000000001
105709.403221,123000.00000000003
160225.518295,155000.0
239881.104251,228500.00000000003
171937.292916,177000.00000000006
192362.425909,155835.00000000012
98402.9752787,108500.00000000009
267631.396126,262499.9999999999
297881.236578,283462.9999999998
241307.944413,215000.00000000006
127216.261535,122000.0000000001
156130.762377,200000.00000000006
175027.131575,171000.00000000003
137380.546573,134899.9999999999
378772.926125,410000.00000000006
226327.208076,234999.99999999994
188149.630504,170000.0
108491.940557,109999.99999999991
163417.621744,149899.99999999994
166268.172368,177499.99999999997
361855.953064,314999.99999999994
189968.824801,189000.0
290122.44841,260000.00000000015
129515.686425,104899.99999999994
168719.358155,156932.00000000012
137927.851949,144151.99999999994
215907.837074,216000.00000000003
188525.979415,192999.99999999997
140449.392375,126999.99999999996
135339.762486,144000.00000000012
237688.122497,232000.00000000015
125541.573552,105000.00000000004
195911.131667,165499.99999999994
257386.049627,274299.99999999977
472145.93977,466499.9999999999
237254.201214,249999.99999999983
244369.091984,239000.00000000003
91853.4992704,90999.99999999996
130290.634085,117000.0
99640.9079025,83000.00000000001
155482.074346,167499.9999999999
73976.0907764,58499.99999999999
254215.576673,237499.99999999994
150799.208346,156999.9999999999
164229.060255,112000.00000000003
112729.05412,105000.00000000004
113765.729224,125499.99999999991
247232.107147,249999.99999999983
167532.675297,135999.99999999988
347153.249468,377499.9999999999
138563.782327,130999.99999999993
221031.448903,234999.99999999994
126716.426739,124000.0000000001
119970.614952,123000.00000000003
156621.049983,163000.00000000012
221949.35378,246578.00000000012
273013.87554,281212.9999999998
160072.832047,159999.9999999999
140205.592125,137500.0
134914.659181,137999.99999999988
162325.836765,137449.99999999988
123957.697755,120000.00000000006
191668.129089,192999.99999999997
196881.221466,193879.00000000006
260065.683647,282922.0000000002
94484.4211964,105000.00000000004
268774.829078,275000.00000000006
132324.625428,132999.99999999997
111118.775861,112000.00000000003
117104.281827,125499.99999999991
214325.233447,215000.00000000006
213614.478863,230000.0000000002
160801.687371,139999.9999999999
98123.8385997,89999.99999999997
242976.354635,256999.9999999998
173688.131979,207000.0000000001
219535.334632,175899.99999999988
132791.978111,122499.9999999999
310947.892748,340000.00000000006
124803.006809,124000.0000000001
224136.259389,222999.99999999997
174401.682149,179900.0
139424.045324,127499.99999999991
132294.540831,136500.0000000001
192028.151098,274970.0
138322.022282,144000.00000000012
151148.398484,142000.00000000012
263148.686619,271000.0
134218.465712,139999.9999999999
104789.833211,119000.0000000001
205965.434514,182900.00000000012
191201.301864,192140.0000000001
132099.269018,143749.99999999997
105534.086272,64500.00000000002
189130.268537,186499.99999999985
161978.197346,159999.9999999999
168001.468964,173999.99999999997
112234.289637,120499.99999999994
350566.972194,394616.9999999999
143044.00994,149700.00000000012
187033.851968,197000.00000000012
230668.290611,190999.99999999997
137107.705081,149299.9999999999
359444.761132,310000.0
104104.633348,121000.0
190552.627325,179600.0
132568.065414,129000.00000000006
143422.143968,157900.00000000006
246823.905361,240000.00000000015
103242.84593,112000.00000000003
82070.7074686,92000.0
113455.837863,135999.99999999988
258575.11763,287090.00000000006
129553.937673,144999.99999999994
132720.413772,84500.00000000004
198635.058168,185000.00000000006
179381.144274,175000.00000000003
213529.399045,210000.0000000001
251073.710927,266500.00000000006
141387.32841,142124.99999999997
138877.373138,147500.0
